"# of Use"," käyttökertaa"
"%1$s incl tax.","%1$s (verollinen)"
"%s - %s","%s - %s"
"%s Item(s)","%s kohdetta"
"%s and above","%s ja yli"
"Attribute group with the \"/name/\" name already exists","Ominaisuusryhmän nimi \"/name/\"  on jo käytössä."
"Attribute remove","Ominaisuuden poistaminen"
"Attribute with the same code already exists","Ominaisuus samalla koodilla on jo olemassa."
"Attributes","Ominaisuudet"
"Attrribute names can be specified per store.","Ominaisuuksien nimet voidaan määrittää kauppakohtaisesti."
"Autogenerate","Muodosta automaattisesti"
"Availability:","Saatavuus:"
"Back","Takaisin"
"Backend Model","Ylläpidon malli"
"Backend Table","Ylläpidon taulukko"
"Backend Table Title","Ylläpidon taulukon otsikko"
"Backorders","Jälkitoimitukset"
"Based On","Perustuu kokoelmaan"
"Before Order Confirmation","Ennen tilauksen vahvistamista"
"Best Value","Paras arvo"
"Block after Info Column","Lohko tuotetietosarakkeen jälkeen"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Alhaalla/Vasemmalla"
"Bottom/Right","Alhaalla/Oikealla"
"Browse By","Selaa"
"Bundle Items","Yhdistelmätuotteen tuotteet"
"Buy %1$s","Osta %1$s"
"Buy %1$s for","Osta %1$s hintaan"
"Buy %1$s for %2$s","Osta %1$s hintaan %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Osta %1$s hintaan %2$s (%3$s verollinen) / kpl"
"Buy %1$s for %2$s each","%2$s / kpl (%1$s tai enemmän)"
"Cache Lifetime (Seconds)","Välimuistin elinaika (sekunteina)"
"Cache refresh needed.","Tarvitaan välimuistin päivitys."
"Call for Price Text:","Kysy hinta teksti:"
"Can be Divided into Multiple Boxes for Shipping","Voidaan jakaa useampaan toimituserään"
"Can be used only with catalog input type Dropdown","Voidaan käyttää vain luettelon syöttötyypin 'pudotusvalikko' kanssa"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Voidaan käyttää vain luettelon syöttömuotojen pudotusvalikko, monivalinta ja hinta kanssa"
"Can't create image.","Kuvaa ei voida lisätä."
"Cancel","Peruuta"
"Cannot create image.","Kuvaa ei voida lisätä."
"Cannot create writeable directory '%s'.","Kirjoitettavaa hakemistoa '%s' ei voida lisätä."
"Cart Item Attribute","Ostoskorin tuotteen ominaisuus"
"Catalog","Luettelo"
"Catalog Category (Anchor)","Luettelon luokka (ankkuri)"
"Catalog Category (Non-Anchor)","Luettelon luokka (ei-ankkuri)"
"Catalog Category (Without Subcategories)","Luettelon luokka (ilman alaluokkia)"
"Catalog Category Link","Luettelon luokka Linkki"
"Catalog New Products List","Luettelon uusien tuotteiden lista"
"Catalog Price Scope","Luettelon hintanäkymä"
"Catalog Product Compare List","Luettelon tuotevertailu"
"Catalog Product Email to a Friend","Luettelotuote Lähetä ystävälle"
"Catalog Product Image Gallery Popup","Luettelon tuote Kuvagalleria ponnahdusikkuna"
"Catalog Product Link","Luettelo tuote Linkki"
"Catalog Product View (Any)","Luettelon tuotenäkymä (mikä tahansa)"
"Catalog Product View (Configurable)","Luettelon tuotenäkymä (mukailtava)"
"Catalog Product View (Grouped)","Luettelon tuotenäkymä (ryhmitelty)"
"Catalog Product View (Simple)","Luettelon tuotenäkymä (yksinkertainen)"
"Catalog Product View (Virtual)","Luettelon tuotenäkymä (virtuaalinen)"
"Catalog Section","Luettelo -osio"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Luettelon uudelleenohjaukset"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog, Search","Luettelo, haku"
"Categories","Luokat"
"Categories Sitemap","Luokkien sivukartta"
"Category","Luokka"
"Category API","Luokka API"
"Category Data","Luokan tiedot"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Luokan tuotteet"
"Category Top Navigation","Ylävalikon luokat"
"Category URL Suffix","Luokan URL:n loppuliite"
"Category attributes API","Luokan ominaisuuksien API"
"Category move error","Luokan siirtovirhe."
"Category move error %s","Luokan siirtovirhe %s"
"Category move operation is not possible: parent category is equal to child category.","Luokan siirto ei ole mahdollista: Isäntäluokka on tasa-arvoinen alaluokan kanssa."
"Category move operation is not possible: the current category was not found.","Luokan siirto ei ole mahdollista: Luokkaa ei löydy."
"Category move operation is not possible: the new parent category was not found.","Luokan siirto ei ole mahdollista: Uutta isäntäluokkaa ei löydy."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Center","Keskellä"
"Change","Muuta"
"Change or Retrieve attribute store view","Muokkaa tai nouda ominaisuus kauppanäkymä"
"Change status","Muuta tila"
"Check items to add to the cart or","Valitse ostoskoriin lisättävät tuotteet tai"
"Choose an Option...","Valitse yksi vaihtoehto..."
"Choose","Valitse"
"Clear All","Tyhjennä kaikki"
"Clear Price","Tyhjennä hinta"
"Click for price","Klikkaa hinta näkyviin"
"Close Window","Sulje ikkuna"
"Collapse All","Pienennä kaikki"
"Comma-separated.","Erotetaan pilkuilla."
"Comparable","Vertailtava"
"Comparable on Front-end","Vertailtavissa kaupan puolella"
"Comparable on the Frontend","Vertailtavissa kaupan puolella"
"Compare","Vertaa"
"Compare Products","Tuotevertailu"
"Conditions Combination","Ehtojen yhdistelmä"
"Configurable Product","Muokattava tuote"
"Configurable Product Settings","Muokattavan tuotteen asetukset"
"Configure Product","Muokattava tuote"
"Continue","Jatka"
"Copy From Configurable","Kopioi muokattavasta"
"Country/State","Maa/Maakunta"
"Create","Lisää"
"Create (Upload)","Lisää (nouda)"
"Create Empty","Lisää tyhjä"
"Create Permanent Redirect for URLs if URL Key Changed","Lisää pysyvä uudelleenohjaus vanhaan osoitteeseen jos URL-avainta muutetaan"
"Create Permanent Redirect for old URL","Lisää pysyvä uudelleenohjaus vanhaan URL-osoitteeseen"
"Create Product Settings","Lisää tuotteen asetukset"
"Create Simple Associated Product","Lisää yksinkertainen liitännäistuote"
"Create attribute set based on another set","Lisää ominaisuuskokoelma joka perustuu toiseen kokoelmaan"
"Create new attribute","Lisää uusi ominaisuus"
"Create new category","Lisää uusi luokka"
"Create new product","Lisää uusi tuote"
"Cross-sells","Ehdotettavat tuotteet"
"Currently Shopping by:","Tämänhetkinen rajaus:"
"Custom Design","Mukailtu ulkoasu"
"Custom Options","Muokattavat vaihtoehdot"
"Custom options","Muokattavat vaihtoehdot"
"Customer Group","Asiakasryhmä"
"Customers Reviews","Asiakkaiden arvostelut"
"Customers Tagged Product","Asiakkaiden merkitsemät asiasanat"
"Data Type for Saving in Database","Tietotyyppi tietokantaan tallennusta varten"
"Date & Time Custom Options","Päivämäärän ja ajan valinta"
"Date Fields Order","Päivämäärän järjestys"
"Date Subscribed","Kirjautunut"
"Datetime","Aika"
"Decimal","Desimaali"
"Declare attribute value saving scope","Aseta ominaisuuden arvon tallennusnäkymä"
"Default ""What's This"" Text Message","""Mikä tämä on"" -tekstin oletus"
"Default Popup Text Message","Ponnahdusikkunan oletusteksti"
"Default Price","Oletushinta"
"Default Price Navigation Step","Hinnan porrastuksen oletusarvo"
"Default Qty","Oletetusmäärä"
"Default Values","Oletusarvot"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Määrittää oletusvaluutan näkymän (""Valuutta"" > ""Valuutta-asetukset"" > ""Oletusvaluutta"")."
"Delete","Poista"
"Delete Attribute","Poista ominaisuus"
"Delete Attribute Set","Poista ominaisuuskokoelma"
"Delete Category","Poista luokka"
"Delete Group Price","Poista ryhmähinta"
"Delete Option","Poista vaihtoehto"
"Delete Row","Poista rivi"
"Delete Search","Poista haku"
"Delete Selected Group","Poista valittu ryhmä"
"Delete Tier","Poista määrähinta"
"Delete attribute","Poista ominaisuus"
"Delete category","Poista luokka"
"Delete product","Poista tuote"
"Depends on design theme","Riippuvainen ulkoasuteemasta"
"Design","Ulkoasu"
"Details","Kuvaus"
"Disabled","Pois käytöstä"
"Disallowed file type.","Tiedostotyyppi ei ole sallittu."
"Display Actual Price","Näytä todellinen hinta"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","Näytä tuotteiden lukumäärä"
"Display in Suggested Terms","Näytä ehdotetuissa hakusanoissa"
"Display Type","Näytä tyyppi"
"Double click on a group to rename it","Tuplaklikkaa ryhmää nimetäksesi se uudestaan"
"Double click on above image to view full picture","Tuplaklikkaa kuvaa nähdäksesi sen kokonaan"
"Downloadable Information","Ladattavien tuotteiden tiedot"
"Duplicate","Monista"
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Monista löydetty sivusto, maa, maakunta ja vero."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Esim. {{media url=""polku/kuvaan.jpg""}} {{skin url=""polku/kuvaan.gif""}}. Dynaamiset osoitteet vaikuttavat luettelon tehokkuuteen mahdollisesti sitä heikentäen."
"Edit","Muokkaa"
"Edit Attribute Set '%s'","Muokataan ominaisuuskokoelmaa '%s'"
"Edit Product Attribute","Muokataan tuotteen ominaisuutta"
"Edit Product Attribute ""%s""","Muokataan tuotteen ominaisuutta ""%s"""
"Edit Search","Muuta hakua"
"Edit Search '%s'","Muuta hakua '%s'"
"Edit Set Name","Kokoelman nimen muokkaaminen"
"Email","Sähköposti"
"Email to a Friend","Lähetä ystävälle"
"Empty","Tyhjä"
"Enable for reindexing a big number of SKUs.","Suositellaan käytettäväksi kun tuotteita on yli 1000 kpl."
"Enable MAP","Ota käyttöön MAP"
"Enable Qty Increments","Erämyynti"
"Enable WYSIWYG","Ota käyttöön WYSIWYG-editori"
"Enabled","Käytössä"
"Error during retrieval of option value: %s","Noudettaessa valinnan arvoa %s tapahtui virhe."
"Exclude","Sulje pois"
"Expand All","Laajenna kaikki"
"Failed","Epäonnistui"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Tiedoston %s kopiointi epäonnistui. Poista mediasta kuvat joita ei ole ja yritä uudestaan."
"Failed to move file: %s","Tiedoston %s siirto epäonnistui."
"Feature Products","Esillä olevat tuotteet"
"Field is not complete","Kenttä ei ole valmis"
"File options format is not valid.","Tiedostovaihtoehtojen muoto ei ole kelvollinen."
"File upload failed","Tiedoston nouto epäonnistui."
"Filter model name must be declared.","Suodatinmallin nimi täytyy määrittää."
"Filter must be an object. Please set correct filter.","Suodattimen täytyy olla objekti. Aseta suodatin oikein."
"Filterable (no results)","Suodatettava (ei tuloksia)"
"Filterable (with results)","Suodatettava (tuloksellinen)"
"First Name","Etunimi"
"Fixed","Kiinteä"
"For internal use.","Sisäiseen käyttöön."
"For the last time placed.","For the last time placed."
"Frontend","Kaupan puoli"
"Frontend Model","Kaupan puolen malli"
"Frontend Properties","Kaupan puolen asetukset"
"Gallery","Galleria"
"General Information","Yleistiedot"
"Get full information about attribute with list of options","Nouda täydelliset tiedot ominaisuuksista sisältäen listan valinnoista"
"Get full information about custom option in product","Nouda tuotteen täydet tiedot muokatusta valinnasta"
"Get list of available custom option types","Nouda luettelo käytettävissä olevista muokattavista valintatyypeistä"
"Get list of non-default attributes by product type and attributes set","Nouda luettelo tuotetyypeistä ja ominaisuuskokoelmista, jotka sisältävät ominaisuudet jotka eivät ole oletuksena."
"Get list of possible attribute types","Nouda luettelo mahdollisista ominaisuustyypeistä"
"Get special price","Nouda erikoishinta"
"Global","Globaali"
"Globally Editable","Globaalisti muokattava"
"Go to Home Page","Siirry etusivulle"
"Grid","Taulukko"
"Group add","Ryhmän lisäys"
"Group Price","Ryhmähinta"
"Group remove","Ryhmän poisto"
"Grouped Product","Ryhmätuote"
"Groups","Ryhmät"
"Home","Etusivu"
"ID","Tunniste"
"ID: %s","Tunniste: %s"
"If empty, the Category Name will be used","Tyhjänä käytetään luokan nimeä"
"If empty, the Product Name will be used","Tyhjänä käytetään tuotteen nimeä"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jos ominaisuuden arvoa ei määritellä kauppanäkymälle, käytetään ylläpidon arvoa."
"Image","Kuva"
"Image content is not valid base64 data.","Kuvan sisältö ei ole base64 -tietoa."
"Image does not exist.","Kuvaa ei ole."
"Image file was not found.","Kuvatiedostoa ei löydy."
"Image type and information need to be specified for each store view.","Kuvan tyyppi ja tiedot täytyy määritellä jokaiselle kauppanäkymälle."
"In Cart","Ostoskorissa"
"In Stock","Varastossa"
"In stock","Varastossa"
"Incl. Tax","Verollinen"
"Index product and categories URL rewrites","Indeksoi tuote ja luokkien uudelleenohjaukset"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Indeksoi tuotteiden hinnat"
"Indexed category/products association","Indeksoidut luokkien tai tuotteiden yhteydet"
"Info","Tiedot"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Syöttömuoto"
"Inquire for quotation","Pyydä tarjous"
"Integer","Kokonaisluku"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Määrähinnat ovat virheellisiä."
"Invalid attribute %s","Virheellinen ominaisuus: %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ominaisuudelle %s (%s) on määritelty virheellinen ominaisuuden vaihtoehto, hypätään tietueen yli."
"Invalid attribute set specified, skipping the record.","Ominaisuuskokoelma on määritelty virheellisesti,  hypätään tietueen yli."
"Invalid block: %s.","Sisältölohko %s on virheellinen."
"Invalid category IDs.","Luokkien tunnisteet ovat virheellisiä."
"Invalid category.","Luokka on virheellinen."
"Invalid image file type.","Kuvan tiedostotyyppi on virheellinen."
"Invalid image type.","Kuvan tyyppi on virheellinen."
"Invalid option ID specified for %s (%s), skipping the record.","Ominaisuuden tunniste määritelty virheellisesti kohteelle %s (%s), hypätään tietueen yli."
"Invalid product type specified, skipping the record.","Tuotetyyppi on määritelty virheellisesti, hypätään tietueen yli."
"Invalid store specified","Kauppa on määritelty virheellisesti."
"Invalid store specified, skipping the record.","Kauppa on määritelty virheellisesti, hypätään tietueen yli."
"Invalid tier prices. The product is not associated to the requested website.","Määrähinnat ovat virheellisiä. Tuotetta ei ole yhdistetty kyseiseen sivustoon."
"Inventory","Varasto"
"Is Default","Oletus"
"Is Required","Pakollinen"
"Items %s to %s of %s total","Tuotteet %s - %s / %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Tuotteita joiden ei haluta näkyvän luettelossa tai hakutuloksissa tulee asettaa halutussa kaupassa 'Ei käytössä' -tilaan."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Tuotteita joiden ei haluta näkyvän luettelossa tai hakutuloksissa tulee asettaa halutussa kaupassa 'Ei käytössä' -tilaan."
"Keep your eyes open for our special Back to School items and save A LOT!","Säästä selvää rahaa seuraamalla 'Takaisin kouluun' -tuotteitamme."
"Label","Nimi"
"Last Name","Sukunimi"
"Last Notification","Viimeisin ilmoitus"
"Layered Navigation","Kerroksittainen navigaatio"
"Learn More","Lue lisää..."
"Line %d, Email: %s","Rivi %d, sähköposti: %s"
"Line %d, SKU: %s","Rivi %d, tuotenumero: %s"
"Link (Related, Up sell, Cross sell)","Linkki (liittyvät, vaihtoehtoiset, ehdotettavat)"
"Link product does not exist.","Linkitettyä tuotetta ei ole."
"Link to a Specified Category","Linkitä tiettyyn luokkaan"
"Link to a Specified Product","Linkitä tiettyyn tuotteeseen"
"List","Luettelo"
"List Mode","Luettelon muoto"
"List of Products that are set as New","Luettelo tuotteista jotka on asetettu 'Uusiksi tuotteiksi'"
"List of types","Tyyppiluettelo"
"Manage Attribute Sets","Ominaisuuskokoelmat"
"Manage Attributes","Ominaisuudet"
"Manage Catalog Categories","Luettelon luokat"
"Manage Categories","Luokat"
"Manage Label / Options","Nimet ja vaihtoehdot"
"Manage Options (values of your attribute)","Vaihtoehdot (ominaisuuden arvoja)"
"Manage Product Attributes","Tuotteen ominaisuudet"
"Manage Product Sets","Tuotteiden kokoelmat"
"Manage Products","Tuotteet"
"Manage Stock","Varastonhallinta"
"Manage Titles (Size, Color, etc.)","Nimet (koko, väri, jne.)"
"Max Characters","Suurin sallittu merkkimäärä"
"Maximal Depth","Syvyys enintään"
"Maximum Image Size","Suurin sallittu kuvan koko"
"Maximum Number of Price Intervals","Hintaporrastusten suurin sallittu arvo"
"Maximum Qty Allowed in Shopping Cart","Ostoskorin enimmäistuotemäärä"
"Maximum allowed image size for '%s' is %sx%s px.","Suurin sallittu kuvan koko kohteelle '%s' on %sx%s px."
"Maximum image height","Kuvan enimmäiskorkeus"
"Maximum image width","Kuvan enimmäisleveys"
"Maximum number of characters:","Suurin sallittu merkkimäärä:"
"Maximum number of price intervals is 100","Hintaporrastusten suurin sallittu on 100"
"Media Image","Mediakuva"
"Meta Information","Metatiedot"
"Minimum Advertised Price","Pienin mainostettava hinta (MAP)"
"Minimum Lines per Page","Rivien vähimmäismäärä / sivu"
"Minimum Qty Allowed in Shopping Cart","Ostoskorin vähimmäistuotemäärä"
"Minimum Qty for Item's Status to be Out of Stock","Vähimmäismäärä, jolloin tuote merkitään varastosta loppuneeksi"
"Missing SKU, skipping the record.","Tuotenumero puuttuu, hypätään tietueen yli."
"More Views","Lisää kuvia"
"Move","Siirrä"
"Move category in tree","Siirrä luokkaa hierarkiassa"
"Must be in the allowed values list.","Oltava sallittujen arvojen luettelossa."
"N/A","ei saatavilla"
"Name","Nimi"
"Name in %s","Nimi kohteessa %s"
"New Product","Uusi tuote"
"New products","Uudet tuotteet"
"New Product Attribute","Uusi tuoteominaisuus"
"New Products","Uudet tuotteet"
"New Products Grid Template","Uusien tuotteiden taulukkomallipohja"
"New Products List Template","Uusien tuotteiden luettelomallipohja"
"New Root Category","Uusi juuriluokka"
"New Search","Uusi haku"
"New Set Name","Uusi kokoelman nimi"
"New Subcategory","Uusi alaluokka"
"Next","Seuraava"
"No","Ei"
"No image","Ei kuvaa"
"No layout updates","Ei sommitelmaa"
"No options of this product are available.","Tälle tuotteelle ei ole saatavilla vaihtoehtoja."
"No product collections found.","Tuotekokoelmia ei löydy."
"None","Ei mitään"
"Not Visible Individually","Ei näy yksittäin"
"Notify Low Stock RSS","Ilmoita alhainen varastotilanne RSS-syötteellä"
"Notify for Quantity Below","Ilmoita kun 'Määrä alle'"
"Number of Products per Page","Tuotteita per sivu"
"Number of Products to Display","Näytettävien tuotteiden määrä"
"Number of Uses","Käyttökerrat"
"Number of results","Tulosten määrä"
"Number of results (For the last time placed)","Tulosten määrä (viimeksi haettu tilanne)"
"OK","OK "
"OR","TAI"
"Old Price:","Vanha hinta:"
"On Gesture","On Gesture"
"Only %s left","Vain %s jäljellä"
"Option validation failed to add product to cart.","Vaihtoehtojen vahvistaminen epäonnistui lisättäessä tuotetta ostoskoriin."
"Option values","Vaihtoehdon arvot"
"Option:","Vaihtoehto:"
"Options","Vaihtoehdot"
"Options Control","Vaihtoehdot"
"Options is required","Vaihtoehdot ovat pakollisia."
"Our customer service is available 24/7. Call us at (555) 555-0123.","Asiakaspalvelu on avoinna maanantaista perjantaihin kello 8.00 - 17.00."
"Out of Stock","Ei ole varastossa"
"Out of stock","Ei ole varastossa"
"PM","PM"
"Page Title Separator","Sivun otsikon erotin"
"Parent Category","Isäntäluokka"
"Pending","Odottaa"
"Pending Reviews RSS","Odottavien arvostelujen RSS-syöte"
"Percentage","Prosenttiosuus"
"Please add rows to option.","Lisää rivejä vaihtoehdoksi."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on the Close Window button if it is not closed automatically.","Paina Sulje ikkuna -painiketta, jos ikkuna ei suljeudu automaattisesti."
"Please enter a new group name","Kirjoita uuden ryhmän nimi"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Päivitä ""Luettelon uudelleenohjaukset"" ja ""Tuotteen ominaisuudet"" kohdasta Järjestelmä -> <a href=""%s"">Indeksit</a>"
"Please select a static block ...","Valitse muuttumaton sisältölohko..."
"Please select items.","Valitse kohteet."
"Please select one or more attributes.","Valitse yksi tai useampi ominaisuus."
"Please select product(s).","Valitse tuotteet."
"Please select products for attributes update","Valitse tuotteet ominaisuuksien päivitykseen."
"Please specify date required option(s).","Määritä päivän vaativat vaihtoehdot."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product required option(s)","Määritä tuotteelle pakolliset vaihtoehdot."
"Please specify the product required option(s).","Määritä tuotteelle pakolliset vaihtoehdot."
"Please specify the product's option(s).","Määritä tuotteen vaihtoehdot."
"Please specify the product's required option(s).","Määritä tuotteen pakolliset vaihtoehdot."
"Please specify the quantity of product(s).","Määritä tuotteiden määrä."
"Please specify time required option(s).","Määritä ajan vaativat vaihtoehdot."
"Please wait...","Odota..."
"Position","Sijainti"
"Position in Layered Navigation","Sijainti kerroksittaisessa navigaatiossa"
"Position of attribute in layered navigation block","Ominaisuuden sijainti kerroksittaisen navigaation sisältölohkossa"
